depth_cm,age_kyr,mg_ca,sst_c,d11b,ph,pco2_sw
13.0,6.599,4.848,28.852,21.128,8.255,228.364
16.0,8.122,4.611,28.536,21.613,8.292,203.989
19.0,9.645,4.793,29.441,21.998,8.309,192.927
22.0,11.168,4.684,28.929,21.869,8.306,195.385
25.0,12.690,4.515,28.104,21.615,8.297,201.354
28.0,14.213,4.536,28.510,22.059,8.323,185.478
31.0,15.736,4.496,28.207,21.927,8.318,189.042
34.0,17.259,4.374,27.848,21.990,8.326,184.663
37.0,18.782,4.309,27.720,22.121,8.337,178.955
40.0,20.305,4.348,27.694,21.942,8.325,185.718
54.0,27.411,4.100,26.698,21.730,8.322,188.686
57.0,28.934,4.123,26.946,21.943,8.333,181.701
60.0,30.457,4.126,27.663,22.742,8.379,156.880
63.0,31.980,4.249,27.572,22.114,8.338,178.471
66.0,33.503,4.356,28.590,22.901,8.379,155.819
69.0,34.130,4.172,27.016,21.731,8.318,190.420
72.0,34.708,4.084,27.406,22.555,8.370,161.923
76.0,35.479,4.417,28.686,22.786,8.370,160.031
79.0,36.057,4.639,28.527,21.765,8.303,197.430
81.0,36.442,4.806,29.092,21.861,8.303,196.623
82.0,36.635,4.459,28.167,22.002,8.323,185.858
83.0,36.827,4.767,28.860,21.693,8.294,202.419
85.0,37.212,4.193,27.452,22.151,8.342,176.462
88.0,37.790,4.462,28.466,22.346,8.343,174.380
91.0,38.368,4.524,28.600,22.277,8.337,177.604
94.0,38.946,4.391,27.450,21.384,8.289,207.564
97.0,39.524,4.722,28.676,21.626,8.292,204.231
100.0,40.102,5.091,29.520,21.364,8.264,221.262
103.0,40.680,5.082,29.202,21.006,8.242,236.809
109.0,41.258,5.249,29.372,20.965,8.237,240.134
112.0,41.836,5.453,29.028,20.301,8.192,275.012
115.0,42.414,5.040,30.581,21.426,8.256,225.068
118.0,42.992,5.144,29.815,21.810,8.291,202.887
121.0,43.570,5.233,30.542,22.406,8.324,182.591
127.0,44.148,5.484,30.346,21.835,8.287,204.872
130.0,45.303,5.256,31.273,22.135,8.297,197.351
136.0,45.881,5.247,30.619,22.063,8.300,196.740
148.0,47.037,4.969,29.505,20.859,8.228,246.650
151.0,49.349,4.912,29.321,21.462,8.273,215.456
154.0,49.927,4.979,28.960,21.256,8.262,222.868
157.0,50.505,4.778,29.358,21.474,8.273,215.125
160.0,51.083,4.779,28.667,21.293,8.268,219.241
